# air_temperature,Frequency
2.617934875488281250e+02,4.400000000000000000e+01
2.646711120605468750e+02,5.800000000000000000e+01
2.675487365722656250e+02,6.800000000000000000e+01
2.704263610839843750e+02,8.500000000000000000e+01
2.733039550781250000e+02,1.420000000000000000e+02
2.761815795898437500e+02,1.470000000000000000e+02
2.790592041015625000e+02,1.210000000000000000e+02
2.819368286132812500e+02,1.130000000000000000e+02
2.848144531250000000e+02,1.150000000000000000e+02
2.876920776367187500e+02,1.470000000000000000e+02
2.905697021484375000e+02,1.600000000000000000e+02
2.934472961425781250e+02,1.960000000000000000e+02
2.963249206542968750e+02,2.980000000000000000e+02
2.992025451660156250e+02,1.190000000000000000e+02
